Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Copper,63.546,Carbon Nitride,Carbon Nitride,0.50%,N,,600,1.724,Tetracycline,TC,Antibiotic,444.43,20,0.06,614,1.824,PMS,1,1,1,1,1,0,0.843,0.006,87.50%,10,0.083174,-1.08,0.003937628,No Light,No Light,80%,5,0.94574,-0.02423,PMS,10.1039/D5NJ03049H 
Iron,55.845,Carbon Nitride,Carbon Nitride,1.38%,N,4.3,50,-0.684,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,56,-0.603,PMS,0,1,1,0,0,0,0.602,0.023,100%,10,0.319547,-0.495,0.0039482,300W Xe lamp,High (>300W),92%,5,0.97937,-0.00905,Photo-PMS,10.1016/j.cej.2021.132937
Manganese,54.938,N-doped porous carbon,Carbon,7.60%,N,4,200,-0.027,Enrofloxacin,ENR,Antibiotic,359.39,10,-0.404,152,-0.186,PMS,1,1,1,1,1,0,0.311,0.244,99%,10,0.009956,-2.002,0.002754668,No Light,No Light,80%,3,0.89443,-0.04846,PMS,10.1016/j.jhazmat.2022.129871
Cobalt,58.933,N-doped graphene (NG),Carbon,13.50%,N,4,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,20,0.06,200,0.023,PMS,0,0,1,0,1,0,1.252,0.108,100%,4,0.095611,-1.019,0.021901967,No Light,No Light,69%,3,0.83066,-0.08058,PMS,10.1021/jacs.8b05992
Iron,55.845,Carbon Nitride,Carbon Nitride,0.40%,Mixed,3,400,0.848,Phenol,PE,Phenolic,94.11,20,0.06,310,0.502,PMS,1,0,1,0,1,0,0.307,0.013,100%,10,0.741752,-0.13,0.021251727,No Light,No Light,70%,5,0.91469,-0.03873,PMS,10.1016/j.jes.2025.03.039
Manganese,54.938,N-doped porous carbon,Carbon,0.27%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,20,0.06,200,0.023,PMS,0,1,1,0,0,0,1.138,0.002,100%,4,2.228241,0.348,0.021901967,No Light,No Light,85%,5,0.96018,-0.01765,PMS,10.1016/j.apcatb.2020.119363
Manganese,54.938,N-doped porous carbon,Carbon,0.27%,N,4,200,-0.027,Methyl Orange,MO,Dye,327.33,20,0.06,200,0.023,PMS,0,1,1,0,0,0,1.138,0.002,100%,2,3.108088,0.492,0.030550209,No Light,No Light,85%,5,0.96018,-0.01765,PMS,10.1016/j.apcatb.2020.119363
Manganese,54.938,N-doped porous carbon,Carbon,0.27%,N,4,200,-0.027,Phenol,PE,Phenolic,94.11,20,0.06,200,0.023,PMS,0,1,1,0,0,0,1.138,0.002,100%,2,10.810439,1.034,0.106258634,No Light,No Light,85%,5,0.96018,-0.01765,PMS,10.1016/j.apcatb.2020.119363
Manganese,54.938,N-doped porous carbon,Carbon,0.27%,N,4,200,-0.027,Ofloxacin,OFX,Antibiotic,361.37,20,0.06,200,0.023,PMS,0,1,1,0,0,0,1.138,0.002,100%,4,1.407657,0.148,0.013836234,No Light,No Light,85%,5,0.96018,-0.01765,PMS,10.1016/j.apcatb.2020.119363
Manganese,54.938,N-doped porous carbon,Carbon,0.27%,N,4,200,-0.027,Ciprofloxacin,CIP,Antibiotic,331.34,20,0.06,200,0.023,PMS,0,1,1,0,0,0,1.138,0.002,97.80%,6,1.000974,0,0.009838836,No Light,No Light,85%,5,0.96018,-0.01765,PMS,10.1016/j.apcatb.2020.119363
Silver,107.87,Porous Tubular Graphite Carbon Nitride (g-C3N4),Carbon Nitride,2.82%,N,2,300,0.411,Atrazine,ATZ,Pesticide,215.68,2,-0.776,50,-0.63,PMS,1,1,1,1,1,1,0.0576,0.49,92.60%,45,0.002433,-2.614,0.000190818,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.jclepro.2025.144934
Silver,107.87,Porous Tubular Graphite Carbon Nitride (g-C3N4),Carbon Nitride,2.82%,N,2,300,0.411,Carbamazepine,CBZ,Pharmaceutical,236.27,2,-0.776,50,-0.63,PMS,1,1,1,1,1,1,0.0576,0.49,92.90%,45,0.002228,-2.652,0.000174753,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.jclepro.2025.144934
Silver,107.87,Porous Tubular Graphite Carbon Nitride (g-C3N4),Carbon Nitride,2.82%,N,2,300,0.411,Microcystin,MC,Natural Pollutant,995.17,2,-0.776,50,-0.63,PMS,1,1,1,1,1,1,0.0576,0.49,95%,30,0.000811,-3.091,6.36E-05,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.jclepro.2025.144934
Silver,107.87,Porous Tubular Graphite Carbon Nitride (g-C3N4),Carbon Nitride,2.82%,N,2,300,0.411,Sulfamethoxazole,SMX,Antibiotic,253.28,2,-0.776,50,-0.63,PMS,1,1,1,1,1,1,0.0576,0.49,100%,30,0.003356,-2.474,0.000263213,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.jclepro.2025.144934
Silver,107.87,Porous Tubular Graphite Carbon Nitride (g-C3N4),Carbon Nitride,2.82%,N,2,300,0.411,Thiacloprid,THIA,Pesticide,252.72,2,-0.776,50,-0.63,PMS,1,1,1,1,1,1,0.0576,0.49,94.20%,45,0.002112,-2.675,0.000165664,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.jclepro.2025.144934
Cobalt,58.933,N-doped biochar,Carbon,0.11%,N,3,100,-0.465,Paracetamol,APAP,Pharmaceutical,151.16,10,-0.404,76,-0.516,PMS,1,1,1,0,1,0,0.46,0.002,100%,11,3.22208,0.508,0.006014097,No Light,No Light,50%,5,0.8409,-0.07526,PMS,10.1016/j.apcatb.2025.125038
Cobalt,58.933,Carbon Nanotube (CNT),Carbon,1.39%,N,5,30,-0.772,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,47,-0.643,PMS,1,1,1,1,1,0,0.094,0.148,96.30%,30,0.179113,-0.747,0.001267372,No Light,No Light,69.10%,5,0.91174,-0.04013,PMS,10.1016/j.seppur.2022.122398
Copper,63.546,N-doped biochar-derived graphitic activated carbon (N-BGAC),Carbon,1.90%,N,4,100,-0.465,Tetracycline,TC,Antibiotic,444.43,20,0.06,250,0.241,PDS,0,0,0,1,1,0,0.0252,0.754,87%,60,0.021824,-1.661,0.000652521,No Light,No Light,71.80%,4,0.89545,-0.04796,PDS,10.1016/j.seppur.2023.125823
Iron,55.845,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,0.60%,N,4,1040,3.651,Bisphenol A,BPA,Phenolic,228.29,20,0.06,134,-0.264,PMS,1,1,1,1,1,0,0.204,0.029,100%,30,0.026135,-1.583,0.002920262,No Light,No Light,91%,5,0.9767,-0.01024,PMS,10.1016/j.jece.2026.121815
Platinum,195.08,Nanoporous Titanium Oxide (TiO2),Metal Oxides,0.50%,O,,1500,5.665,Dimethyl methylphosphonate,DMMP,Industrial Pollutant,124.08,80,2.847,0,-0.847,No Oxidant,0,0,1,1,0,0,0.01526,0.328,95%,120,0.132765,-0.877,0.005104234,800 W Xe lamp,High (>300W),,,,,Photocatalysis,10.1021/acssuschemeng.5c01403
Ruthenium,101.07,Ultrathin Flake Carbon Nitride (FCN),Carbon Nitride,0.34%,N,4,50,-0.684,Methyl Orange,MO,Dye,327.33,20,0.06,,,PMS,1,1,1,1,1,1,0.2236,0.015,100%,5,7.265199,0.861,0.012220084,300W Xe lamp,High (>300W),99%,4,0.99666,-0.00145,Photo-PMS,10.1016/j.cej.2024.156572
Ruthenium,101.07,Ultrathin Flake Carbon Nitride (FCN),Carbon Nitride,0.34%,N,4,50,-0.684,Methyl Orange,MO,Dye,327.33,20,0.06,,,PMS,1,1,1,1,1,1,0.2236,0.015,25%,15,0.605433,-0.218,0.00101834,300W Xe lamp,High (>300W),99%,4,0.99666,-0.00145,Photo-PMS,10.1016/j.cej.2024.156572
Ruthenium,101.07,Ultrathin Flake Carbon Nitride (FCN),Carbon Nitride,0.34%,N,4,50,-0.684,Methyl Orange,MO,Dye,327.33,20,0.06,,,PMS,1,1,1,1,1,1,0.2236,0.015,42%,15,1.017128,0.007,0.001710812,300W Xe lamp,High (>300W),99%,4,0.99666,-0.00145,Photo-PMS,10.1016/j.cej.2024.156572
Ruthenium,101.07,Ultrathin Flake Carbon Nitride (FCN),Carbon Nitride,0.34%,N,4,50,-0.684,Methyl Orange,MO,Dye,327.33,20,0.06,,,PMS,1,1,1,1,1,1,0.2236,0.015,54%,15,1.307736,0.117,0.002199615,300W Xe lamp,High (>300W),99%,4,0.99666,-0.00145,Photo-PMS,10.1016/j.cej.2024.156572
Cobalt,58.933,TpPa-1 COF,MOF/COF,1.00%,N,,300,0.411,Tetracycline,TC,Antibiotic,444.43,10,-0.404,200,0.023,PMS,1,1,0,1,1,0,0.0365,0.274,77.20%,40,0.008531,-2.069,0.000434264,300W Xe lamp,High (>300W),92%,4,0.97259,-0.01207,Photo-PMS,10.1016/j.seppur.2023.125890
Nickel,58.693,N-doped porous carbon,Carbon,2.73%,N,,250,0.192,m-Cresol,m-Cresol,Phenolic,108.14,50,1.454,260,0.284,PMS,1,1,1,1,1,0,0.627,0.044,100%,8,0.497024,-0.304,0.05779545,No Light,No Light,,,,,PMS,10.1021/acsami.2c09111
Iron,55.845,N-doped porous carbon,Carbon,1.00%,N,4,50,-0.684,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,308,0.493,PMS,1,0,0,1,1,0,0.96,0.01,95%,3,1.396419,0.145,0.012502632,No Light,No Light,50%,5,0.8409,-0.07526,PMS,10.1002/smll.202514930
Molybdenum,95.95,Cobalt hydroxide Nanosheet,Layered Hydroxide,1.46%,O,,100,-0.465,Tetracycline,TC,Antibiotic,444.43,20,0.06,300,0.458,PMS,1,1,1,0,1,0,0.9588,0.015,100%,5,0.591492,-0.228,0.009000293,No Light,No Light,80%,7,0.96349,-0.01615,PMS,10.1016/j.cej.2025.170045
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,100%,30,0.031918,-1.496,0.001316067,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,100%,60,0.015959,-1.797,0.000658033,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,60%,90,0.006384,-2.195,0.000263213,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,100%,3,0.319176,-0.496,0.013160665,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,98%,90,0.010426,-1.982,0.000429915,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,100%,10,0.095753,-1.019,0.0039482,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Graphene Oxide (GO),Carbon,2.43%,N,3.6,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.17,0.143,100%,60,0.015959,-1.797,0.000658033,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,100%,30,0.03765,-1.424,0.001316067,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Nitrosyl Fluoride,NOF,Industrial Pollutant,49,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,100%,60,0.097307,-1.012,0.003401361,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Nitrobenzene,NB,Industrial Pollutant,123.11,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,60%,90,0.015492,-1.81,0.000541521,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,100%,3,0.417718,-0.379,0.014601311,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Atrazine,ATZ,Pesticide,215.68,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,90%,90,0.013264,-1.877,0.00046365,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Phenol,PE,Phenolic,94.11,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,100%,10,0.303987,-0.517,0.010625863,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Cobalt,58.933,Silica (SiO2),Silica / Zeolite Supports,2.06%,Mixed,4.7,100,-0.465,Rhodamine B,RhB,Dye,479.02,10,-0.404,152,-0.186,PMS,1,1,1,0,1,0,0.2,0.103,100%,60,0.009954,-2.002,0.000347933,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125898
Copper,63.546,Carbon Nitride,Carbon Nitride,,N,4,60,-0.64,Bisphenol A,BPA,Phenolic,228.29,23,0.2,190,-0.02,PMS,1,0,0,0,0,0,,NIL,100%,10,NIL,NIL,0.010074905,No Light,No Light,,,,,PMS,10.1016/j.jece.2025.117963
Copper,63.546,N-doped porous carbon,Carbon,0.62%,Mixed,4,50,-0.684,Bisphenol A,BPA,Phenolic,228.29,10,-0.404,200,0.023,PMS,0,1,1,0,1,0,1.51,0.004,100%,4.5,1.995387,0.3,0.009734208,No Light,No Light,99%,5,0.99749,-0.00109,PMS,10.1002/smll.202406319
Cobalt,58.933,N-doped nanoplate carbon,Carbon,0.10%,N,4,200,-0.027,Paracetamol,APAP,Pharmaceutical,151.16,20,0.06,500,1.328,PMS,1,0,1,0,1,0,0.51,0.002,92%,10,3.586819,0.555,0.012172532,No Light,No Light,86%,5,0.963,-0.01638,PMS,10.1016/j.cej.2021.132027
Cobalt,58.933,N-doped porous carbon,Carbon,1.65%,Mixed,4,50,-0.684,Sulfadiazine,SDZ,Antibiotic,250.28,10,-0.404,308,0.493,PMS,1,1,1,1,1,0,1.07,0.015,98%,5,0.559416,-0.252,0.007831229,No Light,No Light,80%,5,0.94574,-0.02423,PMS,10.1016/j.apcatb.2023.121408
Iron,55.845,Polytetrafluoroethylene (PTFE),Polymer,1.52%,N,4,50,-0.684,Nitenpyram,NPR,Pesticide,270.72,1,-0.822,80,-0.499,PMS,1,0,0,1,1,0,0.07,0.217,90%,600,0.000407,-3.39,5.54E-06,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2024.124243
Cobalt,58.933,Carbon Nanotube (CNT),Carbon,0.70%,N,,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,20,0.06,400,0.893,PMS,1,0,0,0,1,0,0.157,0.045,81.60%,12,0.250774,-0.601,0.005957335,No Light,No Light,100%,5,1,0,PMS,10.1002/smll.202005060
Cobalt,58.933,3D N-doped carbon aerogel,Carbon,22.03%,N,4,500,1.286,p-Nitrophenol,PNP,Phenolic,139.11,40,0.989,1000,3.504,PMS,1,1,1,0,1,0,0.895,0.246,99%,3,0.050768,-1.294,0.094888937,No Light,No Light,91%,3,0.95394,-0.02048,PMS,10.1016/j.seppur.2023.125273
Iron,55.845,"B, N-doped Graphite Carbon Nitride (g-C3N4)",Carbon Nitride,3.69%,Mixed,4,100,-0.465,Phenol,PE,Phenolic,94.11,20,0.06,200,0.023,PMS,1,1,1,1,1,0,0.949,0.039,100%,20,0.160813,-0.794,0.010625863,No Light,No Light,66%,3,0.8124,-0.09023,PMS,10.1016/j.jcat.2024.115920
Iron,55.845,N-doped porous carbon,Carbon,0.93%,N,,150,-0.246,Bisphenol A,BPA,Phenolic,228.29,20,0.06,400,0.893,PMS,1,0,0,0,0,0,0.24,0.039,100%,30,0.116905,-0.932,0.002920262,No Light,No Light,80%,3,0.89443,-0.04846,PMS,10.1016/j.cej.2020.124382
Cobalt,58.933,Zeolite-13X and Mg silicate,Silica / Zeolite Supports,1.08%,O,,500,1.286,Tetracycline,TC,Antibiotic,444.43,20,0.06,500,1.328,PMS,1,1,1,1,1,0,0.359,0.03,99.50%,30,0.016289,-1.788,0.001492549,No Light,No Light,95.50%,8,0.99344,-0.00286,PMS,10.1016/j.cej.2025.161336
Copper,63.546,N-doped porous carbon,Carbon,,N,,200,-0.027,Sulfamethoxazole,SMX,Antibiotic,253.28,18,-0.032,200,0.023,PMS,1,1,1,0,1,0,0.155,NIL,100%,25,NIL,NIL,0.002842704,No Light,No Light,82.90%,4,0.9394,-0.02715,,10.1016/j.jece.2022.107758
Copper,63.546,N-doped porous carbon,Carbon,,N,,200,-0.027,Tetracycline,TC,Antibiotic,444.43,18,-0.032,200,0.023,PMS,1,1,1,0,1,0,,NIL,100%,25,NIL,NIL,0.001620053,No Light,No Light,82.90%,5,0.9542,-0.02036,,10.1016/j.jece.2022.107758
Copper,63.546,N-doped porous carbon,Carbon,,N,,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,60,1.918,200,0.023,PMS,1,1,1,0,1,0,,NIL,100%,20,NIL,NIL,0.01314118,No Light,No Light,82.90%,6,0.96319,-0.01629,,10.1016/j.jece.2022.107758
Copper,63.546,N-doped porous carbon,Carbon,,N,,200,-0.027,Phenol,PE,Phenolic,94.11,40,0.989,200,0.023,PMS,1,1,1,0,1,0,,NIL,100%,10,NIL,NIL,0.042503453,No Light,No Light,82.90%,7,0.96923,-0.01357,,10.1016/j.jece.2022.107758
Copper,63.546,N-doped porous carbon,Carbon,,N,,200,-0.027,Methyl Orange,MO,Dye,327.33,10,-0.404,200,0.023,PMS,1,1,1,0,1,0,,NIL,100%,5,NIL,NIL,0.006110042,No Light,No Light,82.90%,8,0.97356,-0.01164,,10.1016/j.jece.2022.107758
Iron,55.845,Z-scheme heterojunction WO3/BiOBr,Heterostructure,5.00%,O,,800,2.6,Ciprofloxacin,CIP,Antibiotic,331.34,10,-0.404,0,-0.847,No Oxidant,0,0,1,1,1,1,0.0344,1.453,100%,30,0.001405,-2.852,0.001006016,500W Xe lamp,High (>300W),88.80%,5,0.97074,-0.0129,Photocatalysis,10.1016/j.jece.2022.108693
