Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Platinum,195.08,Carbon Nitride,Carbon Nitride,0.10%,N,3,300,0.411,Ciprofloxacin,CIP,Antibiotic,331.34,10,-0.404,113,-0.355,PMS,1,1,1,1,1,1,,NIL,96.10%,150,0.125733,-0.901,0.000193356,300W Xe lamp,High (>300W),90%,7,0.98259,-0.00763,Photo-PMS,10.1016/j.seppur.2024.131099
Iron,55.845,Cellulose,Polymer,1.40%,N,4,100,-0.465,Levofloxacin,LEV,Antibiotic,361.37,20,0.06,32,-0.708,PMS,1,0,0,1,1,0,0.41,0.034,100%,15,0.147178,-0.832,0.003689663,No Light,No Light,90%,5,0.974,-0.01144,PMS,10.1016/j.seppur.2024.131140
Cobalt,58.933,W₁₈O₄₉ nanowires,Metal Oxides,0.50%,O,5.9,300,0.411,Bisphenol A,BPA,Phenolic,228.29,20,0.06,302,0.467,PMS,1,1,1,1,1,0,0.0922,0.054,100%,40,0.08605,-1.065,0.002190197,No Light,No Light,88%,5,0.96855,-0.01388,PMS,10.1016/j.jcis.2024.02.166 
Cobalt,58.933,Carbon Nitride,Carbon Nitride,7.13%,N,3.4,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,67,-0.556,PMS,1,1,1,1,1,0,0.604,0.118,100%,8,0.040792,-1.389,0.00493525,No Light,No Light,81.37%,3,0.90205,-0.04477,PMS,10.1016/j.cej.2023.146721 
Cobalt,58.933,N-doped porous carbon,Carbon,1.78%,N,3.64,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,20,0.06,100,-0.412,PMS,1,0,0,0,1,0,3.66,0.005,98%,1,2.842547,0.454,0.08585571,No Light,No Light,96%,4,0.98648,-0.00591,PMS,10.1016/j.cej.2022.139229 
Cobalt,58.933,UiO-66 Metal-organic Framework (MOF),MOF/COF,8.70%,S,1,100,-0.465,Norfloxacin,NOR,Antibiotic,319.33,20,0.06,190,-0.02,PMS,1,1,1,1,1,0,0.0142,6.127,98.50%,240,0.001741,-2.759,0.000257049,No Light,No Light,,,,,PMS,10.1016/j.jece.2022.108972 
Cobalt,58.933,"2,2′-bipyridine-bridged perylene diimide",Heterostructure,0.39%,N,4.018,400,0.848,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,15.6,-0.779,PMS,1,0,0,1,1,1,0.1938,0.02,100%,30,0.049718,-1.303,0.001316067,10W LED,Low (<50W),90%,5,0.974,-0.01144,Photo-PMS,10.1016/j.cej.2025.169686
Iron,55.845,Carbon Nitride,Carbon Nitride,0.10%,N,4.3,500,1.286,Tetracycline,TC,Antibiotic,444.43,20,0.06,54.1,-0.612,PDS,1,1,1,1,1,1,0.0551,0.018,99%,90,0.055288,-1.257,0.000495016,300W Xe lamp,High (>300W),,,,,Photo-PMS,10.1016/j.seppur.2024.127879
Cobalt,58.933,defective N-doped porous carbon,Carbon,,N,,30,-0.772,Sulfamethoxazole,SMX,Antibiotic,253.28,25,0.293,152,-0.186,PMS,0,1,1,0,0,0,0.124,NIL,92%,15,NIL,NIL,0.006053906,No Light,No Light,82%,4,0.93599,-0.02873,PMS,10.1016/j.matlet.2024.137923
Cobalt,58.933,N-doped biochar,Carbon,0.89%,N,5,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,76,-0.516,PMS,1,0,0,0,1,0,0.15,0.059,100%,30,0.087146,-1.06,0.001316067,No Light,No Light,,,,,PMS,10.1016/j.cej.2024.158889
Platinum,195.08,Cerium-based metal-organic framework (Ce-MOF),MOF/COF,0.08%,O,2,1000,3.476,Dimethyl methylphosphonate,DMMP,Industrial Pollutant,124.08,50,1.454,0,-0.847,No Oxidant,,,,,,,,NIL,99%,120,0.790899,-0.102,0.003324468,300W Xe lamp,High (>300W),80%,5,0.94574,-0.02423,Photocatalysis,10.1016/j.jece.2025.117209 
Silver,107.87,Carbon Nitride,Carbon Nitride,0.53%,N,,200,-0.027,Rhodamine B,RhB,Dye,479.02,20,0.06,0,-0.847,No Oxidant,0,0,1,1,0,0,0.04422,0.12,100%,60,0.070814,-1.15,0.000695865,300W Xe lamp,High (>300W),95%,5,0.98726,-0.00557,Photocatalysis,10.1039/d1qi01138c
